,has_description,has_url,is_geo_enabled,has_twice_number_followers,has_default_profile,has_profile_image,has_100_friends_1_follower_ratio,has_50_friends_1_follower_ratio,is_protected,is_verified,num_favourites,num_list,num_followers,num_friends,statuses_count,is_bot
0,1,0,0,1,0,1,0,0,0,0,6542,26,481,870,67025,0
1,1,0,0,0,0,1,0,0,0,0,1515,5,202,712,158,0
2,1,0,1,1,1,1,0,0,0,0,4780,4,278,342,4029,0
3,1,1,0,1,0,1,0,0,0,1,143163,402,29546,384,53427,0
4,0,0,1,0,1,1,0,0,0,0,1178,1,95,668,1315,0
5,1,1,0,1,0,1,0,0,0,1,2437,3177,157143,865,39649,0
6,1,0,0,0,1,1,0,0,0,0,1342,0,72,309,274,0
7,1,1,0,1,0,1,0,0,0,0,463821,31,19024,7771,70870,0
8,1,1,1,1,0,1,0,0,0,0,713,55,2671,798,2160,0
9,1,1,1,1,0,1,0,0,0,0,3605,145,1379,2076,21478,0
10,1,1,1,0,0,1,0,0,0,0,8071,22,1527,4996,2704,0
11,1,1,1,0,1,1,0,0,0,0,617,17,193,919,922,0
12,0,0,0,0,1,1,0,0,0,0,312,0,17,88,257,0
13,1,1,1,1,0,1,0,0,0,1,376,67930,50865898,8320,11335,0
14,1,1,1,1,0,1,0,0,0,0,7571,4,2169,4292,3189,0
15,1,1,1,1,1,1,0,0,0,0,240767,352,63431,49012,4484,0
16,1,0,1,1,0,1,0,0,0,0,721,0,30,27,960,0
17,1,1,0,1,0,1,0,0,0,0,59982,42,4528,496,7543,0
18,1,0,0,0,0,1,0,0,0,0,3445,0,44,266,244,0
19,1,1,0,0,1,1,0,0,0,0,394,27,1674,4563,1512,0
20,1,1,1,0,0,1,0,0,0,0,101,4,62,226,168,0
21,1,1,0,1,0,1,0,0,0,1,22351,1135,1242440,518,23639,0
22,1,0,1,1,0,1,0,0,0,0,827,12,265,102,611,0
23,1,1,0,1,0,1,0,0,0,1,5168,157,10146,987,26535,0
24,1,0,0,0,0,1,0,0,0,0,425,5,63,158,260,0
25,1,1,0,1,0,1,0,0,0,0,13183,37,1600,1001,11733,0
26,1,0,1,1,1,1,0,0,0,0,29301,143,59650,46803,16865,0
27,1,1,1,0,0,1,0,0,0,0,18421,26,634,1511,8226,0
28,1,1,1,1,0,1,0,0,0,0,227,7,168,104,174,0
29,1,1,1,1,0,1,0,0,0,1,40696,330,9247,1475,52392,0
30,1,1,1,1,0,1,0,0,0,0,194,17,180,227,400,0
31,1,1,1,1,0,1,0,0,0,0,7540,50,1228,786,3592,0
32,1,1,1,0,1,1,0,0,0,0,10531,31,798,1804,11764,0
33,1,0,0,1,1,1,0,0,0,0,57255,30,3425,4558,13962,0
34,0,0,1,0,1,1,0,0,0,0,2556,0,37,164,2736,0
35,0,0,1,0,0,1,0,0,0,0,349,0,53,810,439,0
36,1,1,0,0,0,1,0,0,0,0,2584,1,32,215,663,0
37,1,1,1,1,0,1,0,0,0,0,4001,26,514,381,4687,0
38,1,0,0,0,1,1,0,0,0,0,21328,3,160,955,5322,0
39,1,1,0,0,0,1,0,0,0,0,178,0,45,143,206,0
40,1,0,1,0,0,1,0,0,0,0,480,5,142,574,1376,0
41,1,0,0,1,1,1,0,0,0,0,2451,2,63,87,2887,0
42,1,0,1,1,0,1,0,0,0,0,11267,141,8831,1147,81566,0
43,1,0,1,0,1,1,0,0,0,0,466,18,410,901,3510,0
44,1,1,1,1,0,1,0,0,0,1,3076,197,5238,822,5018,0
45,1,0,0,0,0,1,0,0,0,0,30950,30,215,960,49682,0
46,1,0,0,0,0,1,0,0,0,0,129,0,21,44,79,0
47,1,0,0,1,1,1,0,0,0,0,4430,1,276,181,6479,0
48,1,1,1,1,0,1,0,0,0,0,290,44,728,429,1556,0
49,1,1,0,0,0,1,0,0,0,0,444,3,124,523,308,0
50,1,0,1,1,1,1,0,0,0,0,2205,0,118,129,311,0
51,1,1,1,1,0,1,0,0,0,0,524,298,10386,2068,6809,0
52,1,1,1,1,0,1,0,0,0,1,19221,645,57153,20071,39369,0
53,0,1,1,1,1,1,0,0,0,0,6860,0,365,356,1943,0
54,1,1,1,0,1,1,0,0,0,0,103996,10,914,2737,17423,0
55,0,0,0,0,1,1,0,0,0,0,26908,0,154,733,1522,0
56,1,0,0,0,1,1,0,0,0,0,13496,0,193,390,3459,0
57,1,1,0,1,0,1,0,0,0,0,24285,2,172,263,34519,0
58,1,0,0,0,1,1,0,0,0,0,3252,0,54,163,1101,0
59,1,1,1,1,0,1,0,0,0,1,2532,1144,1329856,353,14290,0
60,1,0,1,0,1,1,0,0,0,0,1011,5,209,1501,3202,0
61,0,1,1,1,1,1,0,0,0,0,1109,0,140,139,312,0
62,1,1,0,1,0,1,0,0,0,0,18310,293,3690,1370,31385,0
63,1,0,0,0,0,1,0,0,0,0,228,1,160,621,2103,0
64,1,0,1,1,0,1,0,0,0,0,180,4,538,346,474,0
65,1,0,0,0,0,1,0,0,0,0,820,7,131,276,1389,0
66,1,0,0,0,0,1,0,0,0,0,604,1,40,194,2619,0
67,1,1,0,1,0,1,0,0,0,0,348,4,154,294,520,0
68,1,1,1,1,0,1,0,0,0,0,11684,30,1437,313,22786,0
69,1,0,1,1,0,1,0,0,0,0,32834,4,487,506,13140,0
70,1,0,1,1,0,1,0,0,0,0,4221,30,1158,765,14370,0
71,1,1,1,1,0,1,0,0,0,0,969,10,1610,1658,676,0
72,1,0,0,1,1,1,0,0,0,0,1973,1,57,43,275,0
73,1,0,1,1,0,1,0,0,0,0,15413,3,151,201,3209,0
74,1,1,1,1,0,1,0,0,0,0,4219,47,2010,556,8514,0
75,1,0,0,0,1,1,0,0,0,0,194,27,93,236,14506,0
76,1,0,1,1,0,1,0,0,0,0,35068,25,19065,18983,18753,0
77,1,0,1,1,0,1,0,0,0,0,32216,3,431,518,10104,0
78,1,0,0,1,0,1,0,0,0,0,20246,3,884,1229,14125,0
79,1,1,1,1,0,1,0,0,0,0,18653,32,9839,2487,85875,0
80,1,0,0,1,0,1,0,0,0,0,4521,64,499,619,13163,0
81,1,1,0,1,1,1,0,0,0,0,90980,124,45954,39280,46307,0
82,1,1,1,1,0,1,0,0,0,0,5943,7,818,465,1199,0
83,1,0,0,1,1,1,0,0,0,0,90748,5,8185,8775,17724,0
84,1,1,1,1,0,1,0,0,0,1,70041,1846,95685,8138,29688,0
85,1,1,0,0,0,1,0,0,0,0,11926,13,303,1019,20432,0
86,1,0,0,1,1,1,0,0,0,0,2432,0,462,600,1005,0
87,1,0,0,0,1,1,0,0,0,0,3292,6,69,369,1439,0
88,1,1,1,1,0,1,0,0,0,0,23576,16,948,1015,14393,0
89,1,0,0,0,1,1,0,0,0,0,73,0,5,38,78,0
90,0,0,0,0,1,1,0,0,0,0,5378,1,41,241,1415,0
91,0,0,1,1,0,1,0,0,0,0,8096,4,250,331,6478,0
92,1,0,0,1,0,1,0,0,0,0,2173,7,179,289,1656,0
93,0,0,0,0,1,1,0,0,0,0,576,1,11,121,76,0
94,0,0,1,0,1,1,0,0,0,0,26802,0,100,634,1468,0
95,0,0,0,0,1,1,0,0,0,0,5518,7,208,656,3302,0
96,1,1,1,1,0,1,0,0,0,0,1066,126,8653,274,2232,0
97,1,0,0,0,1,1,0,0,0,0,66,0,12,159,4080,0
98,1,0,0,1,1,1,0,0,0,0,36425,777,133062,52271,52101,0
99,0,0,0,0,1,1,0,0,0,0,17,0,23,485,237,0
100,1,0,1,0,0,1,0,0,0,0,9260,127,1971,5002,10131,0
101,1,0,0,0,0,1,0,0,0,0,17503,0,172,1016,7146,0
102,1,0,0,1,0,1,0,0,0,0,6939,267,96086,1412,12489,0
103,1,1,0,1,1,1,0,0,0,0,9114,100,2625,3210,8077,0
104,1,0,0,0,1,1,0,0,0,0,159,0,68,289,117,0
105,0,0,1,1,0,1,0,0,0,0,973,26,226,68,2222,0
106,1,0,1,1,0,1,0,0,0,0,35506,2,621,349,7191,0
107,0,1,1,1,1,1,0,0,0,0,5238,1,260,229,2479,0
108,1,0,0,1,1,1,0,0,0,0,6040,1,3847,4421,2588,0
109,1,1,1,1,0,1,0,0,0,0,973,1,71,136,251,0
110,1,0,0,1,0,1,0,0,0,0,2657,26,348,575,8431,0
111,1,1,0,0,0,1,0,0,0,0,4315,1,67,219,2318,0
112,1,1,1,1,0,1,0,0,0,1,20049,1288,99631,516,43823,0
113,1,1,1,1,0,1,0,0,0,0,6641,4,376,530,2468,0
114,1,0,1,1,0,1,0,0,0,0,5633,53,15144,8678,1593,0
115,1,1,1,1,0,1,0,0,0,0,1092,199,5439,1826,32847,0
116,1,1,0,1,0,1,0,0,0,0,74161,117,11978,488,37162,0
117,1,1,0,1,0,1,0,0,0,0,14128,15,1355,566,10598,0
118,1,0,0,0,0,1,0,0,0,0,1617,4,303,623,5219,0
119,1,1,0,1,0,1,0,0,0,0,1967,68,1316,2343,1135,0
120,1,0,0,1,0,1,0,0,0,0,11748,27,521,760,9332,0
121,1,0,0,1,0,1,0,0,0,0,2813,4,37,52,8741,0
122,1,1,1,1,1,1,0,0,0,0,44848,15,9062,5979,11774,0
123,1,1,0,1,1,1,0,0,0,0,11701,35,4235,4998,22593,0
124,1,1,1,1,0,1,0,0,0,1,1479,6847,1148403,1021,4003,0
125,1,1,1,1,0,1,0,0,0,1,2110,509,58626,4941,7278,0
126,1,0,1,1,0,1,0,0,0,0,177396,5,876,368,25891,0
127,1,1,0,1,0,1,0,0,0,1,54334,580,67417,5045,16754,0
128,1,1,1,1,0,1,0,0,0,0,14562,28,486,290,9415,0
129,1,0,0,1,1,1,0,0,0,0,2454,0,89,87,1092,0
130,1,1,0,0,0,1,0,0,0,0,0,0,7,59,1,0
131,1,0,1,0,0,1,0,0,0,0,389,0,83,576,200,0
132,1,1,1,1,0,1,0,0,0,1,85554,1292,139617,32046,46281,0
133,1,1,0,1,0,1,0,0,0,0,16541,23,411,760,19534,0
134,0,0,0,1,1,1,0,0,0,0,0,0,14,8,13,0
135,1,0,0,0,0,1,0,0,0,0,2814,1,75,182,786,0
136,0,0,1,1,1,1,0,0,0,0,2612,0,99,135,1158,0
137,1,0,0,0,0,1,0,0,0,0,37109,92,1422,2960,51548,0
138,1,0,1,0,0,1,0,0,0,0,9602,0,295,668,3036,0
139,1,1,1,1,1,1,0,0,0,0,2205,7,2208,2295,911,0
140,1,0,1,0,1,1,0,0,0,0,8230,1,78,536,677,0
141,1,1,1,1,0,1,0,0,0,1,2002,302,7937,941,22848,0
142,1,0,0,0,0,1,0,0,0,0,361,2,78,396,667,0
143,1,0,1,0,0,1,0,0,0,0,285,4,169,458,329,0
144,1,0,0,0,1,1,0,0,0,0,480,0,23,62,873,0
145,1,1,1,1,0,1,0,0,0,0,9996,67,643,415,22768,0
146,1,0,0,1,0,1,0,0,0,0,221,10,182,278,2539,0
147,1,1,1,0,0,1,0,0,0,0,4574,6,195,618,9972,0
148,1,0,1,1,0,1,0,0,0,0,280,84,1103,1268,4173,0
149,1,0,1,0,1,1,0,0,0,0,9561,4,428,1498,6463,0
150,1,1,0,0,0,1,0,0,0,0,10,0,13,78,1986,0
151,1,0,1,1,0,1,0,0,0,0,77,17,386,556,2476,0
152,1,0,0,0,0,1,0,0,0,0,558,7,267,822,790,0
153,1,0,0,0,0,1,0,0,0,0,29230,18,1719,4047,14404,0
154,1,1,0,1,0,1,0,0,0,0,8441,75,1445,2116,15347,0
155,1,1,1,0,0,1,0,0,0,0,696,7,103,377,7678,0
156,1,0,1,0,1,1,0,0,0,0,618,0,20,124,395,0
157,1,1,1,1,0,1,0,0,0,1,3315,26,4399,1147,2497,0
158,1,0,1,1,0,1,0,0,0,0,48,0,123,178,1075,0
159,0,0,0,1,0,1,0,0,0,0,23,0,25,38,18,0
160,0,0,0,1,1,1,0,0,0,0,4874,70,6901,819,46721,0
161,1,0,1,1,1,1,0,0,0,0,1387,2,2134,2417,2085,0
162,0,0,0,1,1,1,0,0,0,0,2,0,10,19,19,0
163,1,0,0,0,1,1,0,0,0,0,1704,0,36,208,359,0
164,0,0,0,1,0,1,0,0,0,0,36,0,40,77,64,0
165,1,0,0,0,1,1,0,0,0,0,9593,4,137,348,4994,0
166,1,0,1,1,1,1,0,0,0,0,11581,2,155,96,1953,0
167,1,1,0,1,1,1,0,0,0,0,1327,11,4791,3316,8483,0
168,1,1,1,1,0,1,0,0,0,1,8660,155,8949,1340,23856,0
169,1,1,1,1,0,1,0,0,0,0,270,3,196,299,514,0
170,1,1,1,1,1,1,0,0,0,0,11885,0,230,311,3281,0
171,1,0,1,1,0,1,0,0,0,1,15208,2341,140448,1212,38811,0
172,1,1,1,1,0,1,0,0,0,0,47,78,396,149,2943,0
173,1,0,0,0,1,1,0,0,0,0,1485,0,30,96,1594,0
174,1,0,1,1,0,1,0,0,0,0,6549,23,1001,686,18882,0
175,1,0,1,1,0,1,0,0,0,0,85730,105,3742,4670,80679,0
176,1,1,0,1,0,1,0,0,0,0,2534,383,23052,17019,3215,0
177,1,0,0,1,1,1,0,0,0,0,16088,3,492,382,7794,0
178,1,1,1,1,1,1,0,0,0,1,13966,85,16858,13273,3039,0
179,1,0,1,1,0,1,0,0,0,0,8493,56,1067,69,128570,0
180,1,1,0,1,0,1,0,0,0,0,33855,673,21167,12461,66147,0
181,1,0,0,1,1,1,0,0,0,1,7284,2046,824183,784,8280,0
182,0,0,1,0,0,1,0,0,0,0,1017,11,265,1826,1256,0
183,1,1,0,0,0,1,0,0,0,0,177,4,824,3320,302,0
184,1,0,0,1,1,1,0,0,0,0,2055,4,239,126,499,0
185,1,0,1,0,0,1,0,0,0,0,3683,21,294,1702,9897,0
186,1,1,0,0,1,1,0,0,0,0,365,0,255,544,233,0
187,1,1,1,1,0,1,0,0,0,0,5978,313,1851,1030,20039,0
188,1,1,1,1,0,1,0,0,0,0,57770,93,1241,857,63387,0
189,1,0,0,1,0,1,0,0,0,0,16605,26,192,150,3409,0
190,0,0,1,1,0,1,0,0,0,0,741,5,125,158,367,0
191,1,1,1,1,1,1,0,0,0,0,40,25,674,123,24745,0
192,1,1,0,1,0,1,0,0,0,1,51427,1635,361112,647,6048,0
193,1,0,0,1,0,1,0,0,0,0,125374,40,1564,1686,61545,0
194,1,1,0,0,0,1,0,0,0,0,3707,9,286,1041,3578,0
195,1,1,0,0,0,1,0,0,0,0,4630,2,1070,5066,1857,0
196,1,1,0,1,0,1,0,0,0,0,95,5,160,213,693,0
197,1,0,1,0,0,1,0,0,0,0,1292,11,414,860,9101,0
198,1,1,0,1,0,1,0,0,0,0,15641,5,283,357,10156,0
199,1,1,0,1,0,1,0,0,0,0,146678,39,507,206,21394,0
200,1,1,0,1,0,1,0,0,0,0,3170,58,1694,888,619,0
201,1,1,1,1,0,1,0,0,0,0,173,49,1240,1275,7321,0
202,1,0,0,0,1,1,0,0,0,0,4275,5,231,493,2896,0
203,1,1,1,1,1,1,0,0,0,0,3969,2,777,219,929,0
204,1,1,0,0,1,1,0,0,0,0,74894,132,1401,3794,144144,0
205,1,1,1,1,0,1,0,0,0,0,8557,20,860,768,1444,0
206,1,0,0,1,0,1,0,0,0,0,29286,19,1094,2125,16426,0
207,0,0,1,0,1,1,0,0,0,0,374,0,57,453,44,0
208,1,0,0,1,1,1,0,0,0,0,6388,60,1555,955,3561,0
209,1,0,0,0,0,1,0,0,0,0,38,4,88,235,7945,0
210,1,1,1,1,0,1,0,0,0,0,1090,71,1884,1177,11099,0
211,1,0,1,1,0,1,0,0,0,0,27189,58,477,594,22882,0
212,1,1,1,1,1,1,0,0,0,0,41835,2,378,416,6386,0
213,1,0,1,1,0,1,0,0,0,0,1129,0,162,189,1692,0
214,1,0,0,0,1,1,0,0,0,0,323,0,40,153,1058,0
215,1,1,1,1,0,1,0,0,0,0,19396,26,841,423,10091,0
216,1,1,0,1,0,1,0,0,0,0,28,15,1840,28,2200,0
217,1,0,1,1,0,1,0,0,0,0,23128,9,14058,13400,5561,0
218,1,1,1,1,0,1,0,0,0,0,56550,9,646,911,39098,0
219,1,1,1,1,0,1,0,0,0,0,64208,6,1147,384,22663,0
