has_description,has_url,is_geo_enabled,has_twice_number_followers,has_default_profile,has_profile_image,has_100_friends_1_follower_ratio,has_50_friends_1_follower_ratio,is_protected,is_verified,num_favourites,num_list,num_followers,num_friends,statuses_count,followers_i_follow_back_ratio,friends_that_follow_me_back_ratio,is_bot
1,1,1,0,0,1,0,1,0,0,1,0,23,1360,29,0.347826087,0.005882353,1
0,0,1,0,0,1,0,0,0,0,138,0,234,1970,1408,0.790598291,0.093908629,1
1,1,0,0,0,1,0,0,0,0,8,0,77,1949,39,0.87012987,0.034376603,1
0,0,0,0,1,1,0,0,0,0,4,0,23,251,59,0.260869565,0.023904382,1
1,1,1,0,0,1,0,0,0,0,61,1,79,834,987,0.392405063,0.037170264,1
1,0,1,0,1,1,0,0,0,0,3,0,153,1588,286,0.62745098,0.060453401,1
0,0,0,0,1,1,0,0,0,0,0,1,21,805,45,0.523809524,0.013664596,1
0,0,0,0,1,1,0,1,0,0,0,0,23,1286,72,0.826086957,0.014774495,1
0,0,0,0,1,1,1,1,0,0,0,0,3,598,1,0.666666667,0.003344482,1
0,0,0,0,1,1,1,1,0,0,0,0,7,1242,0,0.857142857,0.004830918,1
0,0,0,0,0,1,0,0,0,0,7,1,178,1491,557,0.758426966,0.09054326,1
0,0,0,0,1,1,0,1,0,0,10,0,16,1164,383,0.9375,0.012886598,1
0,0,0,0,1,1,0,0,0,0,0,0,105,1102,30,0.714285714,0.068058076,1
0,0,1,0,0,1,0,0,0,0,0,0,22,979,20,0.818181818,0.018386108,1
1,1,0,1,0,1,0,0,0,0,92,9,603,886,307,0.225538972,0.153498871,1
1,0,0,0,1,1,0,0,0,0,1,0,15,530,96,0.6,0.016981132,1
0,1,0,0,1,1,0,0,0,0,13,0,65,995,215,0.230769231,0.015075377,1
0,0,0,0,1,1,0,1,0,0,0,0,13,683,0,0.384615385,0.007320644,1
0,0,0,0,0,1,0,0,0,0,0,0,24,1148,441,0.75,0.015679443,1
0,1,1,0,0,1,0,0,0,0,0,3,137,1051,78,0.357664234,0.046622265,1
0,0,0,0,1,1,0,1,0,0,0,0,12,1198,0,0.666666667,0.006677796,1
1,0,1,0,0,1,0,0,0,0,7,5,280,1523,221,0.425,0.078135259,1
0,0,0,0,1,1,0,1,0,0,0,0,17,1136,1,0.823529412,0.012323944,1
0,0,0,0,1,1,0,0,0,0,0,0,30,1190,0,0.866666667,0.021848739,1
1,1,0,0,0,1,0,0,0,0,6,9,554,1819,647,0.752707581,0.229246839,1
1,1,0,0,0,1,0,0,0,0,2,0,527,2015,1513,0.667931689,0.174689826,1
0,0,0,0,1,1,0,0,0,0,3,0,35,1196,54,0.514285714,0.015050167,1
0,0,0,0,1,1,1,1,0,0,0,0,7,1117,0,0.714285714,0.004476276,1
0,0,0,0,1,1,0,1,0,0,0,0,18,1199,0,0.944444444,0.014178482,1
0,0,0,0,1,1,0,0,0,0,0,0,52,1223,7,0.211538462,0.008994276,1
1,1,0,0,0,1,0,0,0,0,0,0,9,387,62,0.444444444,0.010335917,1
0,0,1,0,1,1,0,0,0,0,14,1,79,904,575,0.632911392,0.055309735,1
0,0,0,0,0,1,1,1,0,0,0,0,3,630,0,0.666666667,0.003174603,1
0,0,0,0,1,1,0,1,0,0,1,0,16,1132,5,0.75,0.010600707,1
0,0,0,0,1,1,0,0,0,0,0,0,62,910,12,0.709677419,0.048351648,1
0,0,0,0,1,1,0,0,0,0,0,0,23,536,7,0.347826087,0.014925373,1
0,0,0,0,1,1,0,0,0,0,3,1,16,406,2,0.625,0.024630542,1
0,0,0,0,1,1,0,1,0,0,0,0,19,1234,1,0.789473684,0.012155592,1
0,0,0,0,1,1,0,0,0,0,0,0,15,681,1,0.666666667,0.014684288,1
1,0,0,0,0,1,0,0,0,0,0,0,72,1438,29,0.805555556,0.040333797,1
0,0,0,0,1,1,1,1,0,0,12,0,9,1108,349,0.444444444,0.003610108,1
1,1,0,0,0,1,0,0,0,0,2,0,116,680,116,0.465517241,0.079411765,1
1,0,0,0,0,1,0,0,0,0,4,0,81,1307,1470,0.456790123,0.028309105,1
1,1,0,0,0,1,0,1,0,0,4,0,23,1319,58,0.608695652,0.010614102,1
0,0,0,0,0,1,0,1,0,0,0,0,18,1237,1,0.777777778,0.011317704,1
0,0,0,0,1,1,0,0,0,0,20,0,9,326,170,0.666666667,0.018404908,1
0,0,0,0,1,1,0,0,0,0,16,0,14,636,491,0.857142857,0.018867925,1
1,1,1,0,0,1,0,0,0,0,0,0,113,426,90,0.256637168,0.068075117,1
0,0,0,0,1,1,0,1,0,0,0,0,9,632,0,0.222222222,0.003164557,1
1,1,0,0,0,1,0,0,0,0,0,1,9,188,11,0.888888889,0.042553191,1
0,0,0,0,0,1,0,0,0,0,0,0,68,2019,17,0.352941176,0.011887073,1
1,0,0,0,0,1,0,0,0,0,1,0,21,611,30,0.80952381,0.027823241,1
1,0,1,0,0,1,0,0,0,0,7,0,175,1792,603,0.897142857,0.087611607,1
0,0,0,0,0,1,1,1,0,0,0,0,10,1125,0,0.7,0.006222222,1
0,0,0,0,0,1,0,0,0,0,0,1,37,494,16,0.324324324,0.024291498,1
0,0,0,0,1,1,0,1,0,0,0,0,7,672,4,0.714285714,0.007440476,1
0,0,0,0,1,1,0,1,0,0,0,0,6,368,0,0.833333333,0.013586957,1
0,0,0,0,1,1,0,1,0,0,0,0,13,1142,1,0.923076923,0.010507881,1
0,0,0,0,1,1,0,1,0,0,0,0,9,504,9,0.555555556,0.009920635,1
0,0,0,0,1,1,0,0,0,0,0,0,23,1134,0,0.869565217,0.017636684,1
0,0,0,0,1,1,0,1,0,0,0,0,19,1142,1,0.842105263,0.014010508,1
1,0,0,0,0,1,0,0,0,0,0,0,35,647,138,0.457142857,0.024729521,1
1,1,0,0,0,1,0,0,0,0,0,3,69,970,118,0.188405797,0.013402062,1
0,0,0,0,0,1,0,1,0,0,0,0,12,624,49,0.416666667,0.008012821,1
0,0,0,0,1,1,0,1,0,0,0,0,9,662,1,0.777777778,0.010574018,1
0,0,1,0,0,1,0,0,0,0,3,0,31,1069,157,0.580645161,0.016838167,1
0,0,0,0,1,1,0,1,0,0,0,0,12,1173,0,0.833333333,0.008525149,1
0,0,0,0,1,1,0,1,0,0,12,0,11,598,58,0.636363636,0.011705686,1
0,0,0,0,0,1,0,0,0,0,0,0,15,509,9,0.466666667,0.013752456,1
0,0,0,0,1,1,1,1,0,0,0,1,6,643,4,0.833333333,0.00777605,1
0,0,1,0,1,1,1,1,0,0,0,1,6,910,0,1,0.006593407,1
0,0,0,0,1,1,1,1,0,0,0,0,4,588,1,1,0.006802721,1
0,0,0,0,1,1,0,0,0,0,0,2,174,1361,141,0.793103448,0.101396032,1
0,0,0,0,1,1,0,1,0,0,0,0,11,1080,1,0.727272727,0.007407407,1
0,0,1,0,0,1,0,1,0,0,1,0,31,2014,29,0.806451613,0.012413108,1
0,0,0,0,1,1,1,1,0,0,0,0,9,928,11,0.888888889,0.00862069,1
0,0,0,0,0,1,0,1,0,0,0,0,16,976,12,0.3125,0.005122951,1
1,0,0,0,0,1,0,1,0,0,0,0,19,1022,17,0.473684211,0.008806262,1
0,0,0,0,1,1,0,1,0,0,0,0,7,647,2,0.714285714,0.007727975,1
1,1,0,0,0,1,0,0,0,0,0,0,21,992,119,0.523809524,0.01108871,1
0,0,0,0,1,1,0,0,0,0,0,0,42,1227,23,0.523809524,0.01792991,1
0,1,0,0,1,1,0,1,0,0,0,0,23,1986,42,0.608695652,0.007049345,1
0,0,0,0,1,1,0,1,0,0,0,0,10,573,0,0.8,0.013961606,1
0,0,0,0,1,1,0,1,0,0,0,0,6,486,91,0.5,0.00617284,1
0,0,0,0,0,1,0,0,0,0,3,0,23,806,13,0.391304348,0.011166253,1
0,0,0,0,0,1,0,1,0,0,0,0,11,944,8,0.545454545,0.006355932,1
0,0,0,0,1,1,0,1,0,0,0,0,7,586,1,0.571428571,0.006825939,1
0,0,0,0,1,1,0,1,0,0,0,0,12,714,0,0.75,0.012605042,1
1,0,0,0,0,1,0,0,0,0,0,0,7,305,11,0.571428571,0.013114754,1
1,0,0,0,1,1,0,0,0,0,1,1,134,678,3239,0.76119403,0.150442478,1
0,0,0,0,1,1,0,0,0,0,0,0,11,328,21,0.454545455,0.015243902,1
0,0,0,0,1,1,0,0,0,0,11,0,13,627,48,0.384615385,0.007974482,1
1,1,1,0,0,1,0,0,0,0,0,0,211,920,203,0.407582938,0.093478261,1
0,0,1,0,1,1,0,1,0,0,0,0,9,529,11,0.555555556,0.009451796,1
0,0,0,0,1,1,0,0,0,0,0,0,6,298,10,1,0.020134228,1
1,0,0,0,0,1,0,0,0,0,0,1,29,911,93,0.413793103,0.013172338,1
1,0,0,0,0,1,0,1,0,0,0,0,14,985,1,0.571428571,0.008121827,1
0,0,0,0,1,1,0,0,0,0,0,1,137,1287,109,0.605839416,0.064491064,1
0,1,0,0,1,1,0,1,0,0,0,0,16,1178,12,0.9375,0.012733447,1
0,0,0,0,1,1,0,1,0,0,0,0,8,595,1,0.875,0.011764706,1
0,1,0,0,0,1,0,0,0,0,0,0,32,625,11,0.625,0.032,1
1,0,0,0,1,1,0,1,0,0,0,2,21,1095,15,0.333333333,0.006392694,1
1,1,0,0,1,1,0,1,0,0,0,0,7,645,68,0.714285714,0.007751938,1
0,0,0,0,1,1,0,0,0,0,0,0,16,678,1,0.3125,0.007374631,1
0,0,0,0,0,1,0,1,0,0,1,0,22,1194,17,0.590909091,0.010887772,1
0,0,0,0,1,1,1,1,0,0,0,0,10,1224,2,0.8,0.006535948,1
0,0,0,0,1,1,0,0,0,0,2,1,123,1111,2471,0.414634146,0.04590459,1
0,0,0,0,0,1,0,1,0,0,0,0,9,653,1,0.888888889,0.012251149,1
1,0,0,0,1,1,0,1,0,0,0,0,9,663,1,0.666666667,0.009049774,1
0,0,0,0,1,1,0,1,0,0,26,0,13,1124,9,0.615384615,0.007117438,1
0,0,0,0,1,1,0,1,0,0,0,0,11,603,6,0.636363636,0.011608624,1
0,0,0,0,1,1,0,1,0,0,0,0,8,648,10,0.625,0.007716049,1
0,0,0,0,1,1,0,1,0,0,1,0,8,645,2,0.875,0.010852713,1
1,0,0,0,0,1,0,1,0,0,1,0,25,1283,489,0.6,0.011691348,1
1,1,1,0,0,1,0,0,0,0,15,1,186,1183,245,0.634408602,0.099746407,1
0,0,0,0,1,1,1,1,0,0,0,0,1,360,2,1,0.002777778,1
0,0,0,0,1,1,1,1,0,0,9,0,8,1105,69,0.875,0.006334842,1
1,1,1,0,0,1,0,0,0,0,0,0,54,996,98,0.481481481,0.026104418,1
0,0,0,0,1,1,0,1,0,0,0,0,5,268,34,0.2,0.003731343,1
1,1,1,0,0,1,0,0,0,0,0,1,148,1451,2188,0.851351351,0.086836664,1
1,0,0,0,0,1,0,0,0,0,1,0,61,1304,136,0.721311475,0.033742331,1
0,0,1,0,1,1,0,0,0,0,0,3,110,1103,871,0.709090909,0.070716228,1
0,0,0,0,0,1,0,1,0,0,0,1,9,635,2,0.333333333,0.004724409,1
0,0,0,0,1,1,1,1,0,0,0,0,11,1244,0,0.636363636,0.00562701,1
1,1,0,0,0,1,0,0,0,0,0,1,127,449,149,0.157480315,0.04454343,1
0,0,0,0,1,1,0,0,0,0,0,0,25,825,45,0.56,0.016969697,1
1,1,0,0,1,1,0,0,0,0,0,0,27,515,6,0.185185185,0.009708738,1
